exam_year,state,city,center_name,center_id,total_students,above_600_marks,above_700_marks,center_average_marks,center_median_marks,state_average_marks,state_median_marks,national_average_marks,national_median_marks,Ultra_High_Score_Ratio,High_Score_Ratio,Center_v_National_Gap,Center_v_State_Gap,Center_Std_Dev,Center_Skewness,Center_Kurtosis
2024,Uttar Pradesh,Ambedkar Nagar,Griffin Public School,441703,519,11,0,200.66,153.0,192.71,137,217.16,163,0.0,0.02119460500963391,-16.5,7.949999999999989,151.047,1.155,0.665
2024,Uttar Pradesh,Gonda,Aims International Sr. Sec. School,443602,593,12,0,184.61,139.0,192.71,137,217.16,163,0.0,0.02023608768971332,-32.54999999999998,-8.099999999999994,140.038,1.328,1.348
2024,Uttar Pradesh,Saharanpur,Delhi Public School,445501,710,25,0,217.64,170.5,192.71,137,217.16,163,0.0,0.035211267605633804,0.47999999999998977,24.92999999999998,166.477,1.062,0.32
2024,Uttar Pradesh,Ghaziabad,The Shri Ram Universal School,440417,340,6,1,122.75,73.0,192.71,137,217.16,163,0.0029411764705882353,0.020588235294117647,-94.41,-69.96000000000001,137.389,2.279,5.042
2024,Uttar Pradesh,Ghaziabad,Dehradun Public School Govindpuram Ghaziabad Up,440410,467,10,1,227.12,187.0,192.71,137,217.16,163,0.0021413276231263384,0.023554603854389723,9.960000000000008,34.41,156.305,0.88,-0.042
2024,Uttar Pradesh,Saharanpur,Rainbow School,445506,471,18,0,211.41,160.0,192.71,137,217.16,163,0.0,0.03821656050955414,-5.75,18.69999999999999,163.136,1.079,0.398
2024,Uttar Pradesh,Lucknow,Juris College Of Law,440848,428,18,0,220.01,148.0,192.71,137,217.16,163,0.0,0.04205607476635514,2.8499999999999943,27.299999999999983,177.139,0.901,-0.349
2024,Uttar Pradesh,Gonda,Shri Lal Bahadur Shastri Degree College,443605,580,5,0,135.53,91.0,192.71,137,217.16,163,0.0,0.008620689655172414,-81.63,-57.18000000000001,128.085,1.882,3.483
2024,Uttar Pradesh,Ambedkar Nagar,Sant Kabir Inter College,441704,466,9,0,172.66,111.5,192.71,137,217.16,163,0.0,0.019313304721030045,-44.5,-20.05000000000001,153.271,1.44,1.252
2024,Uttar Pradesh,Ayodhya,Innovative Minds Academy,441509,232,3,0,154.64,102.5,192.71,137,217.16,163,0.0,0.01293103448275862,-62.52000000000001,-38.07000000000002,137.793,1.638,2.147
